,company,job_link,job_location,job_posted,job_title
0,Lockheed Martin,http://www.indeed.com/rc/clk?jk=5fe8bfadf6abdb68&fccid=aeb15e43a6800b9d,"Washington, DC",Just posted,Data Scientist Analyst
1,Leidos,http://www.indeed.com/rc/clk?jk=cf7e3c9ebf7f2a73&fccid=8765a4045377753a,"Washington, DC",Just posted,Quantitative Statistical Analyst
2,Expedia,http://www.indeed.com/rc/clk?jk=c5940df8261b9a0c&fccid=3169292148c15eab,"Bellevue, WA 98004 (Downtown area)",Just posted,Data Scientist
3,"Xyant Technology, Inc.",http://www.indeed.com/rc/clk?jk=9c92016b05cb73f7&fccid=9d722b0c888b17b1,"Lowell, AR",Just posted,Data Engineer
4,Brillio,http://www.indeed.com/rc/clk?jk=b1da5587940342a3&fccid=fac5a2b8f07c805e,"Redmond, WA",Just posted,Data Scientist
5,S&P GLOBAL MARKET INTELLIGENCE,http://www.indeed.com/rc/clk?jk=bd7252a39f86b195&fccid=2c2386465bad2305,"New York, NY 10002 (Lower East Side area)",Just posted,"Research Analyst, Financial Technology"
6,RangTech,http://www.indeed.com/rc/clk?jk=d7b623d5f3ce2069&fccid=f924423dab22b92a,"Township of Piscataway, NJ",Just posted,Data Scientist
7,SUNY Downstate Medical Center,http://www.indeed.com/rc/clk?jk=3fef309756ed24f5&fccid=ff707404f3ba0ae9,"Brooklyn, NY",Just posted,DATA MANAGER/STATISTICIAN - PART-TME
8,Department of Defense,http://www.indeed.com/rc/clk?jk=861f224e426142ab&fccid=25801a556a902df9,"Fort McNair, DC",Just posted,Research Analyst
9,BNY Mellon,http://www.indeed.com/rc/clk?jk=b2a21ac11cf91f9a&fccid=b4048be2884af072,"New York, NY",Just posted,Jr Quantitative Risk Analyst
10,ABODO,http://www.indeed.com/rc/clk?jk=0fd7376d7d972b04&fccid=a4d465cbcb0840ed,"Madison, WI",Just posted,Data Scientist - Marketing
11,Workbridge Associates,http://www.indeed.com/rc/clk?jk=6063ce53fdea300d&fccid=a6920e0a635e5c4e,"Chicago, IL",Just posted,Data Scientist
12,Bank of America,http://www.indeed.com/rc/clk?jk=956c8a4ec1178659&fccid=5bd99dfa21c8a490,"Charlotte, NC",Just posted,Operations Research Analyst I(Data Management/AML)
13,Civis Analytics,http://www.indeed.com/rc/clk?jk=fa46bb2e8942688a&fccid=85806092f576a90e,"Chicago, IL",Just posted,Data Scientist - Engineering
14,Merck,http://www.indeed.com/rc/clk?jk=1dec63e0e6811bc1&fccid=c38b7d5e0419a6a7,"West Point, PA",Just posted,"Senior Biostatistician, Early Development Job"
15,"Deb North Consulting, LLC",http://www.indeed.com/rc/clk?jk=3d9eff6da8d8430d&fccid=5ce4d25bb95c0ff0,"Kansas City, MO",Just posted,Data Scientist
16,SAIC,http://www.indeed.com/rc/clk?jk=830db586aef95929&fccid=f3b836e645f9b36d,"San Diego, CA 92101",Just posted,Senior Data Scientist Job
17,Halyard Health,http://www.indeed.com/rc/clk?jk=c7d1c2144a0d2b2e&fccid=c7f226a1b09ce32c,"Alpharetta, GA",Just posted,P2 Research Scientist
18,Mintel,http://www.indeed.com/rc/clk?jk=4aa3c3165ad8c7fa&fccid=732b5bd56c00e827,"Chicago, IL 60606 (Loop area)",Just posted,Consumer Research & Data Analyst
19,"Pharmacyclics, LLC",http://www.indeed.com/rc/clk?jk=c87187dfee6f8894&fccid=089326f28ae57037,"Sunnyvale, CA 94085",Just posted,Principal Statistical Analyst
20,Civis Analytics,http://www.indeed.com/rc/clk?jk=d80163108a42cb71&fccid=85806092f576a90e,"Chicago, IL",Just posted,Data Architect (All Levels)
21,Boston Scientific Corporation,http://www.indeed.com/rc/clk?jk=106d15cdfcfe0d49&fccid=d13187a50c252e33,"Marlborough, MA",Just posted,"Technician IV, R&D"
22,"Partner Engineering and Science, Inc",http://www.indeed.com/rc/clk?jk=e3913f066a14bbfb&fccid=14d1ad8dba46509e,"Torrance, CA",Just posted,Entry Level Staff Scientist - Site Mitigation
23,Department of the Army,http://www.indeed.com/rc/clk?jk=3953b6d8d69d3748&fccid=c3b8389ba1f05d96,"Redstone Arsenal, AL",Just posted,Operations Research Analyst
24,Streck,http://www.indeed.com/rc/clk?jk=c46598aa517ad120&fccid=0133f7a60e8ad6a2,"Omaha, NE",Just posted,Research and Development Scientist
25,Catalent Pharma Solutions,http://www.indeed.com/rc/clk?jk=b0339cad20ea3933&fccid=fe0933928b3bb3ad,"Saint Petersburg, FL",Just posted,"Scientist, Sr"
26,"Ceribell, Inc","http://www.indeed.com/cmp/Ceribell,-Inc/jobs/Senior-Machine-Learning-Engineer-d78ad3632c02bf5b?r=1&fccid=1ddfcb90c3b69ff2","Palo Alto, CA",Just posted,Senior Machine Learning Engineer
27,Next Step Systems,http://www.indeed.com/rc/clk?jk=18139aeab3ea1372&fccid=c0284a26116bc063,"Chicago, IL",Just posted,Junior Quantitative Research Analyst
28,Agios Pharmaceuticals,http://www.indeed.com/rc/clk?jk=8e371091fd2042a2&fccid=4029560ec46c5d46,"Cambridge, MA",Just posted,DMPK-Bioanalytical Scientist
29,Bay Area Techworkers,http://www.indeed.com/rc/clk?jk=cc16993080c36d26&fccid=deac8ad1818707ee,"San Ramon, CA 94583",Just posted,Data Scientist
30,American Express,http://www.indeed.com/rc/clk?jk=4ef7a860312fa76f&fccid=f057e04c37cca134,"New York, NY 10001 (Chelsea area)",Just posted,"Director, US Customer Marketing Data Science"
31,"The ACI Group, Inc.",http://www.indeed.com/rc/clk?jk=990b8084d6d46d7a&fccid=5f0856614bd55b0e,"Reston, VA",Just posted,Statistical Process Control Analyst
32,Department of the Army,http://www.indeed.com/rc/clk?jk=5d74f8c6ac3c7620&fccid=c3b8389ba1f05d96,"Aberdeen Proving Ground, MD",Just posted,Computer Scientist
